trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2377F208298:2021-02-19T13:09:32Z,21:18:00,21:18:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2377F223052:2021-02-19T18:51:30Z,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F223052:2021-02-19T18:51:30Z,21:03:00,21:10:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F223052:2021-02-19T18:51:30Z,21:31:00,21:34:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
OCESN2377F223052:2021-02-19T18:51:30Z,21:46:00,21:46:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2404F157762:2021-02-19T18:51:30Z,06:42:00,06:42:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2404F157762:2021-02-19T18:51:30Z,08:35:00,08:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2404F224414:2021-02-21T18:50:52Z,06:40:00,06:40:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2404F224414:2021-02-21T18:50:52Z,08:35:00,08:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2407F160678:2021-02-20T18:50:55Z,08:12:00,08:12:00,StopPoint:OCETGV INOUI-87271007,0,,0,1,
OCESN2407F160678:2021-02-20T18:50:55Z,09:07:00,09:10:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2407F160678:2021-02-20T18:50:55Z,09:35:00,09:38:00,StopPoint:OCETGV INOUI-87147322,2,,0,0,
OCESN2407F160678:2021-02-20T18:50:55Z,10:42:00,10:42:00,StopPoint:OCETGV INOUI-87212027,3,,1,0,
OCESN2407F170696:2021-02-21T18:50:52Z,07:58:00,07:58:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2407F170696:2021-02-21T18:50:52Z,08:38:00,08:41:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2407F170696:2021-02-21T18:50:52Z,09:05:00,09:08:00,StopPoint:OCETGV INOUI-87147322,2,,0,0,
OCESN2407F170696:2021-02-21T18:50:52Z,10:03:00,10:03:00,StopPoint:OCETGV INOUI-87212027,3,,1,0,
OCESN2407F182883:2021-02-21T18:50:52Z,07:15:00,07:15:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2407F182883:2021-02-21T18:50:52Z,07:54:00,07:57:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2407F182883:2021-02-21T18:50:52Z,08:21:00,08:28:00,StopPoint:OCETGV INOUI-87147322,2,,0,0,
OCESN2407F182883:2021-02-21T18:50:52Z,09:24:00,09:24:00,StopPoint:OCETGV INOUI-87212027,3,,1,0,
OCESN2407F208766:2021-02-19T13:09:32Z,07:58:00,07:58:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2407F208766:2021-02-19T13:09:32Z,08:38:00,08:41:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2407F208766:2021-02-19T13:09:32Z,09:05:00,09:08:00,StopPoint:OCETGV INOUI-87147322,2,,0,0,
OCESN2407F208766:2021-02-19T13:09:32Z,10:07:00,10:07:00,StopPoint:OCETGV INOUI-87212027,3,,1,0,
OCESN2407F225547:2021-02-21T18:50:52Z,07:23:00,07:23:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2407F225547:2021-02-21T18:50:52Z,08:02:00,08:05:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2407F225547:2021-02-21T18:50:52Z,08:29:00,08:32:00,StopPoint:OCETGV INOUI-87147322,2,,0,0,
OCESN2407F225547:2021-02-21T18:50:52Z,09:31:00,09:31:00,StopPoint:OCETGV INOUI-87212027,3,,1,0,
OCESN2409F116987:2021-02-21T18:50:52Z,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2409F116987:2021-02-21T18:50:52Z,11:16:00,11:16:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2409F177480:2021-02-21T18:50:52Z,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2409F177480:2021-02-21T18:50:52Z,11:19:00,11:19:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2409F211440:2021-02-19T13:09:32Z,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2409F211440:2021-02-19T13:09:32Z,11:29:00,11:29:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2430F60629:2021-02-19T13:09:32Z,14:41:00,14:41:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2430F60629:2021-02-19T13:09:32Z,16:35:00,16:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2430F225425:2021-02-21T18:50:52Z,14:41:00,14:41:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2430F225425:2021-02-21T18:50:52Z,16:36:00,16:36:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2431F182926:2021-02-21T18:50:52Z,14:43:00,14:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2431F182926:2021-02-21T18:50:52Z,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2431F224418:2021-02-20T18:50:55Z,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2431F224418:2021-02-20T18:50:55Z,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2440F160149:2021-02-19T18:51:30Z,15:44:00,15:44:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2440F160149:2021-02-19T18:51:30Z,17:35:00,17:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2440F224391:2021-02-20T18:50:55Z,15:40:00,15:40:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2440F224391:2021-02-20T18:50:55Z,17:35:00,17:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2450F160746:2021-02-20T18:50:55Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2450F160746:2021-02-20T18:50:55Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2450F225331:2021-02-21T18:50:52Z,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2450F225331:2021-02-21T18:50:52Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2454F160661:2021-02-21T18:50:52Z,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2454F160661:2021-02-21T18:50:52Z,19:29:00,19:32:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2454F160661:2021-02-21T18:50:52Z,20:12:00,20:12:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2454F160677:2021-02-20T18:50:55Z,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2454F160677:2021-02-20T18:50:55Z,20:05:00,20:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2454F224364:2021-02-20T18:50:55Z,18:09:00,18:09:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2454F224364:2021-02-20T18:50:55Z,20:05:00,20:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2454F225294:2021-02-21T18:50:52Z,18:09:00,18:09:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2454F225294:2021-02-21T18:50:52Z,19:29:00,19:32:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2454F225294:2021-02-21T18:50:52Z,20:12:00,20:12:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2465F225463:2021-02-21T18:50:52Z,20:25:00,20:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2465F225463:2021-02-21T18:50:52Z,22:22:00,22:22:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2470F162871:2021-02-19T18:51:30Z,20:42:00,20:42:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2470F162871:2021-02-19T18:51:30Z,22:35:00,22:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2470F209990:2021-02-19T13:09:32Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2470F209990:2021-02-19T13:09:32Z,22:38:00,22:38:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2471F185362:2021-02-21T18:50:52Z,21:46:00,21:46:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2471F185362:2021-02-21T18:50:52Z,23:41:00,23:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2471F225728:2021-02-21T18:50:52Z,21:45:00,21:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2471F225728:2021-02-21T18:50:52Z,23:41:00,23:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2474F116229:2021-02-18T19:09:53Z,21:44:00,21:44:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2474F116229:2021-02-18T19:09:53Z,23:40:00,23:40:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2474F163539:2021-02-21T18:50:52Z,21:47:00,21:47:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2474F163539:2021-02-21T18:50:52Z,23:40:00,23:40:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2501F210713:2021-02-19T13:09:32Z,07:38:00,07:38:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2501F210713:2021-02-19T13:09:32Z,08:18:00,08:21:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2501F210713:2021-02-19T13:09:32Z,09:19:00,09:19:00,StopPoint:OCETGV INOUI-87141002,2,,1,0,
OCESN2503F210725:2021-02-19T13:09:32Z,08:10:00,08:10:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2503F210725:2021-02-19T13:09:32Z,09:11:00,09:14:00,StopPoint:OCETGV INOUI-87147322,1,,0,0,
OCESN2503F210725:2021-02-19T13:09:32Z,09:48:00,09:48:00,StopPoint:OCETGV INOUI-87141002,2,,1,0,
OCESN2505F225544:2021-02-21T18:50:52Z,10:13:00,10:13:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2505F225544:2021-02-21T18:50:52Z,11:44:00,11:44:00,StopPoint:OCETGV INOUI-87141002,1,,1,0,
OCESN2511F208659:2021-02-19T18:51:30Z,14:13:00,14:13:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2511F208659:2021-02-19T18:51:30Z,15:44:00,15:44:00,StopPoint:OCETGV INOUI-87141002,1,,1,0,
OCESN2515F223089:2021-02-21T18:50:52Z,17:13:00,17:13:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2515F223089:2021-02-21T18:50:52Z,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87141002,1,,1,0,
OCESN2517F61902:2021-02-20T18:50:55Z,20:10:00,20:10:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
